reporter	best_category	count
AASA_5	ambiguous_deletion	100
AASA_5	PCR_chimera	3
AASA_6	full_length	438
AASA_6	PCR_chimera	119
AASA_6	ambiguous_deletion	54
AASA_7	full_length	196
AASA_7	ambiguous_deletion	12
AASA_7	PCR_chimera	6
AASA_8	full_length	283
AASA_8	PCR_chimera	3
AASA_9	full_length	279
AASA_9	PCR_chimera	69
AASB_1	full_length	205
AASB_1	PCR_chimera	29
AASB_1	ambiguous_deletion	11
AASB_10	full_length	374
AASB_10	PCR_chimera	217
AASB_10	ambiguous_deletion	26
AASB_2	full_length	418
AASB_2	PCR_chimera	15
AASB_2	ambiguous_deletion	3
AASB_3	full_length	358
AASB_3	ambiguous_deletion	2
AASB_3	PRE-SPACER_mispriming	1
AASB_4	full_length	313
AASB_4	PCR_chimera	22
AASB_4	ambiguous_deletion	11
AASB_5	full_length	441
AASB_5	PCR_chimera	355
AASB_5	ambiguous_deletion	5
AASB_6	full_length	276
AASB_6	PCR_chimera	91
AASB_6	ambiguous_deletion	1
AASB_7	full_length	583
AASB_7	PCR_chimera	39
AASB_7	ambiguous_deletion	8
AASB_8	full_length	574
AASB_8	PCR_chimera	7
AASB_8	ambiguous_deletion	1
AASB_9	full_length	364
AASB_9	PCR_chimera	64
AASB_9	ambiguous_deletion	1
AASL_1	full_length	284
AASL_1	ambiguous_deletion	43
AASL_1	PCR_chimera	39
AASL_1	PRE-SPACER_mispriming	1
AASL_10	full_length	310
AASL_10	PCR_chimera	34
AASL_2	full_length	258
AASL_2	PCR_chimera	26
AASL_2	ambiguous_deletion	1
AASL_3	full_length	235
AASL_3	ambiguous_deletion	115
AASL_3	PCR_chimera	23
AASL_4	full_length	415
AASL_4	PCR_chimera	113
AASL_4	ambiguous_deletion	41
AASL_5	full_length	378
AASL_5	PCR_chimera	8
AASL_5	PRE-SPACER_mispriming	1
AASL_6	full_length	159
AASL_6	PCR_chimera	36
AASL_7	PCR_chimera	262
AASL_7	full_length	176
AASL_7	ambiguous_deletion	5
AASL_8	full_length	349
AASL_8	PCR_chimera	152
AASL_8	ambiguous_deletion	36
AASL_9	full_length	257
AASL_9	PCR_chimera	16
AASS_1	full_length	360
AASS_1	PCR_chimera	28
AASS_10	full_length	500
AASS_10	ambiguous_deletion	28
AASS_10	PCR_chimera	2
AASS_2	full_length	183
AASS_2	PCR_chimera	75
AASS_2	ambiguous_deletion	2
AASS_3	full_length	256
AASS_3	PCR_chimera	231
AASS_3	ambiguous_deletion	2
AASS_4	full_length	195
AASS_4	PCR_chimera	117
AASS_4	ambiguous_deletion	1
